customer,gender,age,employment_industry,employment_status,account_tenure_years,income_band,device,channel
P45766486597685,M,44,manufacturing,employed,11,3_40k_60k,desktop,mobile_app
P45789489321679,F,64,manufacturing,employed,21,2_20k_40k,mobile,branch
P46374259491543,M,36,finance,employed,11,1_<20k,mobile,mobile_app
P47891534783572,F,68,retail,retired,12,3_40k_60k,tablet,branch
P51758611569129,F,39,education,employed,8,1_<20k,desktop,branch
P52769772532121,M,54,manufacturing,employed,16,4_60k_90k,desktop,online_banking
P66373643989186,M,30,construction,employed,6,2_20k_40k,mobile,mobile_app
P68755181269737,F,58,healthcare,employed,14,3_40k_60k,mobile,branch
P69485168569757,F,43,education,employed,6,2_20k_40k,mobile,online_banking
P71166168797394,F,44,construction,self_employed,16,2_20k_40k,desktop,mobile_app
P74413363233298,F,78,retail,retired,25,3_40k_60k,mobile,online_banking
P76866373858451,M,41,public_sector,self_employed,14,2_20k_40k,desktop,mobile_app
P79128454694118,M,52,public_sector,self_employed,12,3_40k_60k,mobile,phone
P82184396266417,M,47,manufacturing,employed,14,3_40k_60k,tablet,mobile_app
P84431496588625,F,35,finance,unemployed,8,1_<20k,mobile,mobile_app
P88141137795382,F,46,manufacturing,employed,12,2_20k_40k,desktop,mobile_app
P92124599311589,M,53,retail,unemployed,12,3_40k_60k,mobile,branch
P92325486572816,M,49,healthcare,self_employed,9,2_20k_40k,desktop,mobile_app
P95765922727813,M,41,education,employed,13,2_20k_40k,mobile,mobile_app
P96698397717197,M,47,finance,employed,10,2_20k_40k,mobile,online_banking
P96849526951782,M,42,healthcare,employed,7,2_20k_40k,mobile,mobile_app
P97111854441355,F,60,retail,employed,16,3_40k_60k,tablet,mobile_app
R15728441217971,F,23,technology,employed,2,1_<20k,desktop,mobile_app
R16977484895162,F,39,construction,employed,9,1_<20k,desktop,branch
R17354148795478,F,56,healthcare,self_employed,17,4_60k_90k,mobile,online_banking
R17479132843559,M,53,retail,employed,13,4_60k_90k,mobile,online_banking
R17994444726359,F,18,finance,unemployed,0,1_<20k,tablet,mobile_app
R18864868668596,F,31,finance,unemployed,12,2_20k_40k,desktop,branch
R22994327816589,F,41,finance,employed,16,2_20k_40k,mobile,mobile_app
R23411527343831,F,35,construction,employed,9,2_20k_40k,desktop,mobile_app
R25394584372741,F,43,manufacturing,employed,8,4_60k_90k,desktop,online_banking
R29241374549265,M,33,manufacturing,unemployed,9,2_20k_40k,mobile,mobile_app
R35322123754253,M,46,retail,employed,11,1_<20k,tablet,mobile_app
R42263889643865,F,46,finance,employed,16,2_20k_40k,mobile,mobile_app
R43862467317554,F,32,retail,employed,0,1_<20k,tablet,mobile_app
R44322613292247,M,43,healthcare,unemployed,3,1_<20k,mobile,mobile_app
R45171421473354,F,19,education,employed,0,2_20k_40k,tablet,online_banking
R45832542755686,M,18,healthcare,employed,0,1_<20k,mobile,mobile_app
R48866795197197,F,49,retail,employed,12,1_<20k,tablet,branch
R55128326699267,F,26,public_sector,unemployed,7,1_<20k,desktop,mobile_app
R57129996618334,F,63,retail,employed,13,3_40k_60k,mobile,mobile_app
R59973436127375,F,55,manufacturing,unemployed,12,4_60k_90k,mobile,mobile_app
R61551484533325,M,57,healthcare,employed,7,3_40k_60k,desktop,mobile_app
R62318925387112,F,48,public_sector,unemployed,21,3_40k_60k,desktop,online_banking
R62641952531715,M,42,retail,employed,3,3_40k_60k,mobile,phone
R65482369145651,F,30,finance,self_employed,4,2_20k_40k,tablet,mobile_app
R72256367246817,M,71,retail,retired,18,1_<20k,mobile,branch
R83998842433822,F,82,technology,self_employed,21,2_20k_40k,mobile,mobile_app
R85394663171656,F,74,healthcare,employed,21,6_>140k,desktop,mobile_app
